-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        3.771s        94.10%        3.771s      75.429ms            50  
                               vllm::moe_forward_shared         8.77%     366.533ms        29.08%        1.215s     567.135us        1.492s        37.24%        1.740s     812.318us          2142  
void exl3_moe_kernel<4, 256>(__half const*, __half*,...         0.00%       0.000us         0.00%       0.000us       0.000us        1.491s        37.19%        1.491s     695.989us          2142  
                                               aten::mm         4.11%     171.807ms         6.10%     254.788ms      11.838us        1.447s        36.11%        1.450s      67.364us         21522  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     990.733ms        24.72%     990.733ms     117.734us          8415  
                                       vllm::all_reduce         2.47%     103.224ms         3.72%     155.256ms      29.845us     679.267ms        16.95%     679.681ms     130.658us          5202  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     679.267ms        16.95%     679.267ms     130.578us          5202  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     409.208ms        10.21%     409.208ms      32.619us         12545  
                  execute_context_1(11)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.751ms         2.66%     106.751ms     106.751ms             1  
                      vllm::mhc_fused_post_pre_tilelang        13.30%     555.709ms        15.67%     654.604ms     144.218us     104.918ms         2.62%     105.112ms      23.158us          4539  
                              mhc_fused_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      85.909ms         2.14%      85.909ms      18.927us          4539  
                                            aten::copy_         1.96%      81.768ms         5.11%     213.675ms       5.594us      51.718ms         1.29%      51.735ms       1.355us         38194  
void gemmSN_NN_kernel<float, 256, 4, 2, 8, 4, 4, fal...         0.00%       0.000us         0.00%       0.000us       0.000us      37.848ms         0.94%      37.848ms      68.814us           550  
            fused_recurrent_gated_delta_rule_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      36.666ms         0.91%      36.666ms      21.568us          1700  
                                              aten::bmm         0.32%      13.436ms         0.42%      17.344ms      14.786us      25.189ms         0.63%      25.189ms      21.474us          1173  
                                       vllm::all_gather         0.13%       5.621ms         0.22%       9.276ms      90.941us      24.671ms         0.62%      25.763ms     252.581us           102  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      24.671ms         0.62%      24.671ms     241.869us           102  
